"Subtype","host.target.pair","hits.count","host.acc.","phages.targeted","target.acc.","hosts.targeting","PPS_location","Spacers"
"II-A","GCF_000290055.1$merged_GCF_000288515.1$merged_GCF_000290495.1$merged_GCF_000288675.1$JX409894$RevComp$",2,"GCF_000290055.1$merged_GCF_000288515.1$merged_GCF_000290495.1$merged_GCF_000288675.1",1,"JX409894$RevComp$",2,24426,"c(23, 18)"
"I-F","GCF_000301995.1$merged_GCF_000301415.1$1_548347-582474_CU459141.1_PHAGE_Pseudo_phiCTX_NC_003278(18)$RevComp$",3,"GCF_000301995.1$merged_GCF_000301415.1",1,"1_548347-582474_CU459141.1_PHAGE_Pseudo_phiCTX_NC_003278(18)$RevComp$",3,10013,"c(44, 26, 25)"
"I-E","GCF_000357565.2$merged_GCF_000357425.2$7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2",2,"GCF_000357565.2$merged_GCF_000357425.2",1,"7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2",3,12564,"c(5, 3)"
"I-B","GCF_000452185.2$merged_GCF_000451605.1$merged_GCF_000452085.2$1_613164-694283_AVKE01000013.1_PHAGE_Clostr_phiC2(36)$RevComp$",2,"GCF_000452185.2$merged_GCF_000451605.1$merged_GCF_000452085.2",1,"1_613164-694283_AVKE01000013.1_PHAGE_Clostr_phiC2(36)$RevComp$",2,66521,"c(5, 1)"
"II-A","GCF_000454785.1$merged_GCF_000288175.1$merged_GCF_000290335.1$merged_GCF_000454805.1$merged_GCF_000289995.1$merged_GCF_000311625.1$merged_GCF_000454745.1$merged_GCF_000289615.1$3300014583_____Ga0169827_10145",2,"GCF_000454785.1$merged_GCF_000288175.1$merged_GCF_000290335.1$merged_GCF_000454805.1$merged_GCF_000289995.1$merged_GCF_000311625.1$merged_GCF_000454745.1$merged_GCF_000289615.1",1,"3300014583_____Ga0169827_10145",6,11656,"c(32, 16)"
"II-A","GCF_000454985.1$merged_GCF_000454785.1$merged_GCF_000454745.1$1_1784038-1834347_CP007570.1_PHAGE_Strept_20617_NC_023503(13)",2,"GCF_000454985.1$merged_GCF_000454785.1$merged_GCF_000454745.1",1,"1_1784038-1834347_CP007570.1_PHAGE_Strept_20617_NC_023503(13)",3,34452,"c(32, 25)"
"I-F","GCF_000459015.1$merged_GCF_000252805.1$1_38062-59133_JN983047.1_PHAGE_Entero_N15_NC_001901(3)",4,"GCF_000459015.1$merged_GCF_000252805.1",1,"1_38062-59133_JN983047.1_PHAGE_Entero_N15_NC_001901(3)",1,11416,"c(15, 9, 8, 7)"
"I-E","GCF_000482065.1$merged_GCF_000711375.1$merged_GCF_000703865.1$MF356679$RevComp$",2,"GCF_000482065.1$merged_GCF_000711375.1$merged_GCF_000703865.1",1,"MF356679$RevComp$",1,11553,"c(5, 1)"
"I-F","GCF_000516315.1$merged_GCF_000301855.1$merged_GCF_000301255.1$1_114719-153997_APOR01000029_PHAGE_Haemop_SuMu_NC_019455(12)$RevComp$",3,"GCF_000516315.1$merged_GCF_000301855.1$merged_GCF_000301255.1",1,"1_114719-153997_APOR01000029_PHAGE_Haemop_SuMu_NC_019455(12)$RevComp$",1,19474,"c(44, 43, 42)"
"I-F","GCF_000520235.1$merged_GCF_001836655.1$KM389325",2,"GCF_000520235.1$merged_GCF_001836655.1",1,"KM389325",1,951,"c(10, 9)"
"I-E","GCF_000711375.1$merged_GCF_000352525.1$merged_GCF_000703865.1$1_4-60984_AUQU01000016_PHAGE_Entero_P1(40)",2,"GCF_000711375.1$merged_GCF_000352525.1$merged_GCF_000703865.1",1,"1_4-60984_AUQU01000016_PHAGE_Entero_P1(40)",2,12752,"c(15, 5)"
"II-A","GCF_001880505.1$merged_GCF_000288915.1$merged_GCF_000322885.1$2_600592-691064_HF952105.1_PHAGE_Strept_20617_NC_023503(14)$RevComp$",2,"GCF_001880505.1$merged_GCF_000288915.1$merged_GCF_000322885.1",1,"2_600592-691064_HF952105.1_PHAGE_Strept_20617_NC_023503(14)$RevComp$",2,32972,"c(6, 2)"
"II-A","GCF_002213845.1$merged_GCF_002213865.1$2065487010_____mocke_il_caa_ctg120017588776$RevComp$",2,"GCF_002213845.1$merged_GCF_002213865.1",1,"2065487010_____mocke_il_caa_ctg120017588776$RevComp$",2,3061,"c(22, 12)"
"II-A","GCF_000743465.1$merged_GCF_002214125.1$merged_GCF_002214145.1$merged_GCF_000801385.1$merged_GCF_000168695.2$merged_GCF_000582845.1$2065487010_____mocke_il_caa_ctg120017588776$RevComp$",4,"GCF_000743465.1$merged_GCF_002214125.1$merged_GCF_002214145.1$merged_GCF_000801385.1$merged_GCF_000168695.2$merged_GCF_000582845.1",1,"2065487010_____mocke_il_caa_ctg120017588776$RevComp$",2,3061,"c(31, 30, 18, 2)"
"II-A","GCF_000011045.1$5_2804581-2849322_ACGY00000000_PHAGE_Lactob_Lrm1$RevComp$",2,"GCF_000011045.1",1,"5_2804581-2849322_ACGY00000000_PHAGE_Lactob_Lrm1$RevComp$",2,13257,"c(19, 13)"
"I-F","GCF_000014625.1$merged_trunc_GCF_000404265.1$1_170-36522_AOIH01000034_PHAGE_Pseudo_JBD30_NC_020198(31)",2,"GCF_000014625.1$merged_trunc_GCF_000404265.1",1,"1_170-36522_AOIH01000034_PHAGE_Pseudo_JBD30_NC_020198(31)",1,12650,"c(20, 17)"
"II-A","GCF_000146405.1$merged_trunc_GCF_000826225.1$3300013942_____Ga0117795_1000126",2,"GCF_000146405.1$merged_trunc_GCF_000826225.1",1,"3300013942_____Ga0117795_1000126",1,5804,"c(21, 17)"
"I-C","GCF_000153645.1$merged_trunc_GCF_000443105.1$KP137437",2,"GCF_000153645.1$merged_trunc_GCF_000443105.1",1,"KP137437",1,27389,"c(15, 13)"
"II-A","GCF_000168695.2$merged_trunc_GCF_000613165.1$2_1218644-1287667_NC_018586_PHAGE_Lister_B025$RevComp$",2,"GCF_000168695.2$merged_trunc_GCF_000613165.1",1,"2_1218644-1287667_NC_018586_PHAGE_Lister_B025$RevComp$",1,33457,"c(7, 6)"
"I-C","GCF_000242175.1$merged_trunc_GCF_000183585.1$merged_GCF_000242195.1$3300008060_____Ga0114177_101212",2,"GCF_000242175.1$merged_trunc_GCF_000183585.1$merged_GCF_000242195.1",1,"3300008060_____Ga0114177_101212",1,5526,"c(5, 4)"
"I-F","GCF_000192985.1$merged_trunc_GCF_000192905.1$KR093631$RevComp$",2,"GCF_000192985.1$merged_trunc_GCF_000192905.1",1,"KR093631$RevComp$",1,32829,"c(24, 20)"
"I-C","GCF_000223925.1$merged_trunc_GCF_000223965.1$KT887557",2,"GCF_000223925.1$merged_trunc_GCF_000223965.1",1,"KT887557",2,628,"c(39, 19)"
"I-C","GCF_000223965.1$merged_trunc_GCF_000223925.1$merged_GCF_000223945.1$HQ711985$RevComp$",2,"GCF_000223965.1$merged_trunc_GCF_000223925.1$merged_GCF_000223945.1",1,"HQ711985$RevComp$",1,47136,"c(19, 18)"
"I-C","GCF_000223945.1$merged_trunc_GCF_000223925.1$merged_GCF_000223965.1$1_901772-970786_AXQG01000002.1_PHAGE_Pseudo_D3_NC_002484(27)",2,"GCF_000223945.1$merged_trunc_GCF_000223925.1$merged_GCF_000223965.1",1,"1_901772-970786_AXQG01000002.1_PHAGE_Pseudo_D3_NC_002484(27)",1,52075,"c(25, 18)"
"I-C","GCF_000223945.1$merged_trunc_GCF_000223965.1$2_1416053-1458659_CP006931.1_PHAGE_Pseudo_D3_NC_002484(22)$RevComp$",2,"GCF_000223945.1$merged_trunc_GCF_000223965.1",1,"2_1416053-1458659_CP006931.1_PHAGE_Pseudo_D3_NC_002484(22)$RevComp$",2,674,"c(39, 21)"
"I-E","GCF_000238715.1$merged_trunc_GCF_000566905.1$KJ802832$RevComp$",2,"GCF_000238715.1$merged_trunc_GCF_000566905.1",1,"KJ802832$RevComp$",1,8933,"c(13, 11)"
"II-C","GCF_000240605.1$6_1673460-1684519_CP001050_PHAGE_Ralsto_p12J",2,"GCF_000240605.1",1,"6_1673460-1684519_CP001050_PHAGE_Ralsto_p12J",1,5592,"c(8, 5)"
"II-C","GCF_000240605.1$merged_GCF_000240585.1$1_1135954-1176077_AEQG00000000_PHAGE_Haemop_SuMu",2,"GCF_000240605.1$merged_GCF_000240585.1",1,"1_1135954-1176077_AEQG00000000_PHAGE_Haemop_SuMu",2,3824,"c(12, 8)"
"II-C","GCF_000253215.1$merged_trunc_GCF_000328085.2$merged_GCF_000327565.2$4_1564998-1620122_AE004969_PHAGE_Aggreg_S1249_NC_013597(3)$RevComp$",2,"GCF_000253215.1$merged_trunc_GCF_000328085.2$merged_GCF_000327565.2",1,"4_1564998-1620122_AE004969_PHAGE_Aggreg_S1249_NC_013597(3)$RevComp$",2,13880,"c(18, 16)"
"II-A","GCF_000288375.1$merged_trunc_GCF_000310845.1$merged_GCF_000311265.1$2_298366-337011_AEQQ00000000_PHAGE_Strept_1",2,"GCF_000288375.1$merged_trunc_GCF_000310845.1$merged_GCF_000311265.1",1,"2_298366-337011_AEQQ00000000_PHAGE_Strept_1",2,27678,"c(16, 12)"
"II-A","GCF_000288375.1$merged_trunc_GCF_000310845.1$2_1423093-1450471_AAJP00000000_PHAGE_Temper_1",2,"GCF_000288375.1$merged_trunc_GCF_000310845.1",1,"2_1423093-1450471_AAJP00000000_PHAGE_Temper_1",2,25974,"c(13, 12)"
"II-A","GCF_000288515.1$merged_trunc_GCF_000310845.1$1_544482-586079_NC_007432_PHAGE_Strept_3$RevComp$",2,"GCF_000288515.1$merged_trunc_GCF_000310845.1",1,"1_544482-586079_NC_007432_PHAGE_Strept_3$RevComp$",2,33709,"c(17, 16)"
"II-A","GCF_000288715.1$merged_trunc_GCF_000782855.1$JX409895$RevComp$",2,"GCF_000288715.1$merged_trunc_GCF_000782855.1",1,"JX409895$RevComp$",2,20860,"c(12, 8)"
"II-A","GCF_000290075.1$merged_trunc_GCF_000290095.1$merged_trunc_GCF_000288935.1$merged_trunc_GCF_000290395.1$merged_GCF_000290255.1$merged_GCF_000322945.1$merged_trunc_GCF_000291585.1$merged_GCF_000310445.1$merged_GCF_000310605.1$merged_GCF_001880505.1$merged_GCF_000289495.1$merged_GCF_000289955.1$merged_GCF_000288915.1$merged_GCF_000288895.1$merged_GCF_000311645.1$merged_GCF_000289015.1$merged_GCF_000288995.1$merged_GCF_000322885.1$merged_GCF_000290215.1$1_946097-988866_AAJO00000000_PHAGE_Strept_1",2,"GCF_000290075.1$merged_trunc_GCF_000290095.1$merged_trunc_GCF_000288935.1$merged_trunc_GCF_000290395.1$merged_GCF_000290255.1$merged_GCF_000322945.1$merged_trunc_GCF_000291585.1$merged_GCF_000310445.1$merged_GCF_000310605.1$merged_GCF_001880505.1$merged_GCF_000289495.1$merged_GCF_000289955.1$merged_GCF_000288915.1$merged_GCF_000288895.1$merged_GCF_000311645.1$merged_GCF_000289015.1$merged_GCF_000288995.1$merged_GCF_000322885.1$merged_GCF_000290215.1",1,"1_946097-988866_AAJO00000000_PHAGE_Strept_1",2,7224,"c(15, 14)"
"II-A","GCF_000290075.1$merged_GCF_000322945.1$merged_trunc_GCF_000290395.1$merged_GCF_000290255.1$1_625025-666919_AAJP00000000_PHAGE_Strept_phi3396$RevComp$",2,"GCF_000290075.1$merged_GCF_000322945.1$merged_trunc_GCF_000290395.1$merged_GCF_000290255.1",1,"1_625025-666919_AAJP00000000_PHAGE_Strept_phi3396$RevComp$",1,23166,"c(15, 8)"
"II-C","GCF_000293385.1$merged_trunc_GCF_000293325.1$merged_trunc_GCF_000293305.1$3_1044447-1088060_NC_002946_PHAGE_Pseudo_F116$RevComp$",2,"GCF_000293385.1$merged_trunc_GCF_000293325.1$merged_trunc_GCF_000293305.1",1,"3_1044447-1088060_NC_002946_PHAGE_Pseudo_F116$RevComp$",1,6237,"c(31, 30)"
"II-C","GCF_000293385.1$merged_GCF_000293325.1$merged_GCF_000293305.1$3_1420886-1457871_ABZO00000000_PHAGE_Thermo_THSA_485A$RevComp$",2,"GCF_000293385.1$merged_GCF_000293325.1$merged_GCF_000293305.1",1,"3_1420886-1457871_ABZO00000000_PHAGE_Thermo_THSA_485A$RevComp$",2,2771,"c(31, 30)"
"I-F","GCF_000301875.1$merged_trunc_GCF_000453465.1$4_3123901-3149632_CP009534_PHAGE_Acinet_Bphi_B1251_NC_019541(10)",2,"GCF_000301875.1$merged_trunc_GCF_000453465.1",1,"4_3123901-3149632_CP009534_PHAGE_Acinet_Bphi_B1251_NC_019541(10)",1,24992,"c(36, 8)"
"I-E","GCF_000303255.2$merged_trunc_GCF_000692395.1$5_1965849-1994906_CP002797_PHAGE_Entero_N15$RevComp$",2,"GCF_000303255.2$merged_trunc_GCF_000692395.1",1,"5_1965849-1994906_CP002797_PHAGE_Entero_N15$RevComp$",1,8243,"c(10, 9)"
"I-F","GCF_000309255.1$merged_trunc_GCF_000581855.1$3_1872988-1913679_AFDB00000000_PHAGE_Psychr_pOW20_A$RevComp$",2,"GCF_000309255.1$merged_trunc_GCF_000581855.1",1,"3_1872988-1913679_AFDB00000000_PHAGE_Psychr_pOW20_A$RevComp$",1,4074,"c(122, 102)"
"I-F","GCF_000309255.1$merged_trunc_GCF_000368525.1$2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P$RevComp$",2,"GCF_000309255.1$merged_trunc_GCF_000368525.1",1,"2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P$RevComp$",1,15197,"c(112, 106)"
"II-A","GCF_000311165.1$merged_trunc_GCF_000288195.1$1_544482-586079_NC_007432_PHAGE_Strept_3$RevComp$",2,"GCF_000311165.1$merged_trunc_GCF_000288195.1",1,"1_544482-586079_NC_007432_PHAGE_Strept_3$RevComp$",2,34603,"c(16, 15)"
"II-A","GCF_000322485.1$merged_trunc_GCF_000310385.1$merged_GCF_000289075.1$merged_GCF_000322845.1$merged_GCF_000289275.1$3_1374806-1427013_AEGO00000000_PHAGE_Strept_3",2,"GCF_000322485.1$merged_trunc_GCF_000310385.1$merged_GCF_000289075.1$merged_GCF_000322845.1$merged_GCF_000289275.1",1,"3_1374806-1427013_AEGO00000000_PHAGE_Strept_3",1,43782,"c(15, 14)"
"II-A","GCF_000322485.1$merged_trunc_GCF_000310385.1$1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$RevComp$",2,"GCF_000322485.1$merged_trunc_GCF_000310385.1",1,"1_553124-603380_CP007631.1_PHAGE_Strept_pyogenes_315_5_NC_004588(19)$RevComp$",3,48004,"c(24, 19)"
"I-E","GCF_000190855.1$merged_trunc_GCF_000326685.1$merged_GCF_000358975.2$5_2045918-2095388_CP006784.1_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$",2,"GCF_000190855.1$merged_trunc_GCF_000326685.1$merged_GCF_000358975.2",1,"5_2045918-2095388_CP006784.1_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$",1,12634,"c(11, 10)"
"II-C","GCF_000386425.2$merged_GCF_000327585.2$merged_GCF_000327605.2$merged_GCF_000327985.2$merged_GCF_000253215.1$merged_trunc_GCF_000327725.2$merged_GCF_000328105.2$merged_GCF_000328065.2$merged_GCF_000328085.2$merged_GCF_000327565.2$6_1673460-1684519_CP001050_PHAGE_Ralsto_p12J$RevComp$",2,"GCF_000386425.2$merged_GCF_000327585.2$merged_GCF_000327605.2$merged_GCF_000327985.2$merged_GCF_000253215.1$merged_trunc_GCF_000327725.2$merged_GCF_000328105.2$merged_GCF_000328065.2$merged_GCF_000328085.2$merged_GCF_000327565.2",1,"6_1673460-1684519_CP001050_PHAGE_Ralsto_p12J$RevComp$",1,3383,"c(19, 17)"
"II-C","GCF_000253215.1$merged_trunc_GCF_000386425.2$merged_GCF_000327585.2$merged_GCF_000327605.2$merged_GCF_000327985.2$merged_GCF_000626595.1$4_1130533-1156816_CP003909_PHAGE_Pseudo_F116_NC_006552(3)",2,"GCF_000253215.1$merged_trunc_GCF_000386425.2$merged_GCF_000327585.2$merged_GCF_000327605.2$merged_GCF_000327985.2$merged_GCF_000626595.1",1,"4_1130533-1156816_CP003909_PHAGE_Pseudo_F116_NC_006552(3)",1,21732,"c(17, 10)"
"I-E","GCF_000444855.2$merged_trunc_GCF_000688195.1$6_3950205-4005236_CP006923.1_PHAGE_Cronob_ENT47670_NC_019927(18)",2,"GCF_000444855.2$merged_trunc_GCF_000688195.1",1,"6_3950205-4005236_CP006923.1_PHAGE_Cronob_ENT47670_NC_019927(18)",1,41110,"c(32, 30)"
"I-B","GCF_000451665.2$merged_trunc_GCF_000452185.2$merged_GCF_000473685.2$LN681535$RevComp$",2,"GCF_000451665.2$merged_trunc_GCF_000452185.2$merged_GCF_000473685.2",1,"LN681535$RevComp$",1,21830,"c(15, 9)"
"I-F","GCF_000453465.1$merged_trunc_GCF_000301875.1$7_1086365-1148174_CP009257_PHAGE_Acinet_Bphi_B1251_NC_019541(37)",2,"GCF_000453465.1$merged_trunc_GCF_000301875.1",1,"7_1086365-1148174_CP009257_PHAGE_Acinet_Bphi_B1251_NC_019541(37)",1,14306,"c(74, 64)"
"II-C","GCF_000471865.1$5_1584914-1624187_CP001050_PHAGE_Ralsto_PE226$RevComp$",2,"GCF_000471865.1",1,"5_1584914-1624187_CP001050_PHAGE_Ralsto_PE226$RevComp$",1,14983,"c(5, 1)"
"II-C","GCF_000479005.1$merged_trunc_GCF_000759265.1$7000000102_____SRS011111_Baylor_scaffold_12587",2,"GCF_000479005.1$merged_trunc_GCF_000759265.1",1,"7000000102_____SRS011111_Baylor_scaffold_12587",1,4278,"c(28, 21)"
"I-F","GCF_000481525.1$merged_trunc_GCF_000481545.1$2_3070521-3089651_CP007224.1_PHAGE_Entero_M13_NC_003287(2)",2,"GCF_000481525.1$merged_trunc_GCF_000481545.1",1,"2_3070521-3089651_CP007224.1_PHAGE_Entero_M13_NC_003287(2)",3,4444,"c(15, 10)"
"I-F","GCF_000516315.1$merged_trunc_GCF_000301855.1$5_2626147-2678200_AFCZ00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",2,"GCF_000516315.1$merged_trunc_GCF_000301855.1",1,"5_2626147-2678200_AFCZ00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",1,49607,"c(70, 56)"
"II-A","GCF_000147535.1$merged_trunc_GCF_000519785.1$merged_GCF_000519665.1$merged_GCF_000519545.1$merged_GCF_000519505.1$2_96413-128819_AEBY00000000_PHAGE_Entero_phiEf11$RevComp$",2,"GCF_000147535.1$merged_trunc_GCF_000519785.1$merged_GCF_000519665.1$merged_GCF_000519545.1$merged_GCF_000519505.1",1,"2_96413-128819_AEBY00000000_PHAGE_Entero_phiEf11$RevComp$",1,25068,"c(9, 7)"
"II-A","GCF_000582845.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_trunc_GCF_002213865.1$merged_GCF_002213845.1$4_1432643-1483293_NC_021838_PHAGE_Lister_B025(38)",2,"GCF_000582845.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_trunc_GCF_002213865.1$merged_GCF_002213845.1",1,"4_1432643-1483293_NC_021838_PHAGE_Lister_B025(38)",1,25658,"c(7, 6)"
"II-A","GCF_000613165.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1$2_1289682-1335770_CP001602_PHAGE_Lister_B025$RevComp$",2,"GCF_000613165.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1",1,"2_1289682-1335770_CP001602_PHAGE_Lister_B025$RevComp$",1,17852,"c(7, 6)"
"II-A","GCF_000613165.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1$merged_GCF_000168695.2$KJ094023$RevComp$",2,"GCF_000613165.1$merged_trunc_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1$merged_GCF_000168695.2",1,"KJ094023$RevComp$",1,39813,"c(7, 6)"
"I-C","GCF_000569075.1$merged_trunc_GCF_000568975.1$1_2051152-2092043_ACCG00000000_PHAGE_Microb_Min1$RevComp$",2,"GCF_000569075.1$merged_trunc_GCF_000568975.1",1,"1_2051152-2092043_ACCG00000000_PHAGE_Microb_Min1$RevComp$",3,4863,"c(33, 32)"
"II-A","GCF_000712505.1$5_2804581-2849322_ACGY00000000_PHAGE_Lactob_Lrm1$RevComp$",2,"GCF_000712505.1",1,"5_2804581-2849322_ACGY00000000_PHAGE_Lactob_Lrm1$RevComp$",2,29045,"c(4, 3)"
"I-F","GCF_000740455.1$merged_trunc_GCF_000192945.1$KR093651$RevComp$",2,"GCF_000740455.1$merged_trunc_GCF_000192945.1",1,"KR093651$RevComp$",1,32327,"c(47, 33)"
"II-A","GCF_000613165.1$merged_trunc_GCF_000801385.1$merged_GCF_000743465.1$merged_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1$merged_GCF_000168695.2$DQ003639$RevComp$",2,"GCF_000613165.1$merged_trunc_GCF_000801385.1$merged_GCF_000743465.1$merged_GCF_000568475.1$merged_GCF_000307045.1$merged_GCF_000582845.1$merged_GCF_000168695.2",1,"DQ003639$RevComp$",1,38739,"c(8, 7)"
"II-A","GCF_001012745.1$merged_trunc_GCF_001012675.1$7000000714_____SRS012294_Baylor_scaffold_73",2,"GCF_001012745.1$merged_trunc_GCF_001012675.1",1,"7000000714_____SRS012294_Baylor_scaffold_73",1,6576,"c(32, 27)"
"II-A","GCF_001012745.1$merged_trunc_GCF_001012675.1$merged_trunc_GCF_000162435.1$merged_GCF_000161895.2$7000000259_____SRS047335_WUGC_scaffold_77$RevComp$",2,"GCF_001012745.1$merged_trunc_GCF_001012675.1$merged_trunc_GCF_000162435.1$merged_GCF_000161895.2",1,"7000000259_____SRS047335_WUGC_scaffold_77$RevComp$",1,7025,"c(32, 27)"
"I-E","GCF_001271405.1$merged_trunc_GCF_000487215.1$6_1841763-1895442_CP000886.1_PHAGE_Psychr_pOW20_A_NC_020841(10)$RevComp$",2,"GCF_001271405.1$merged_trunc_GCF_000487215.1",1,"6_1841763-1895442_CP000886.1_PHAGE_Psychr_pOW20_A_NC_020841(10)$RevComp$",1,26959,"c(9, 8)"
"I-F","GCF_001460855.1$merged_trunc_GCF_000817445.1$1_610635-640366_ADOG00000000_PHAGE_Salmon_E1",2,"GCF_001460855.1$merged_trunc_GCF_000817445.1",1,"1_610635-640366_ADOG00000000_PHAGE_Salmon_E1",1,9376,"c(18, 5)"
"I-F","GCF_001544395.1$merged_trunc_GCF_000493615.1$2_2939246-2999789_AEPL00000000_PHAGE_Acinet_Bphi_B1251",2,"GCF_001544395.1$merged_trunc_GCF_000493615.1",1,"2_2939246-2999789_AEPL00000000_PHAGE_Acinet_Bphi_B1251",2,20364,"c(52, 44)"
"I-B","GCF_001546155.1$merged_trunc_GCF_001182725.1$4_1567046-1584939_AEXN00000000_PHAGE_Clostr_phiCD38_2$RevComp$",2,"GCF_001546155.1$merged_trunc_GCF_001182725.1",1,"4_1567046-1584939_AEXN00000000_PHAGE_Clostr_phiCD38_2$RevComp$",3,1719,"c(14, 6)"
"I-E","GCF_001807705.1$merged_trunc_GCF_000567005.1$5_2504543-2559609_NC_018106_PHAGE_Entero_SfV",2,"GCF_001807705.1$merged_trunc_GCF_000567005.1",1,"5_2504543-2559609_NC_018106_PHAGE_Entero_SfV",1,6470,"c(24, 23)"
"I-C","GCF_001812885.1$merged_trunc_GCF_001812725.1$7000000677_____SRS049389_WUGC_scaffold_36286",2,"GCF_001812885.1$merged_trunc_GCF_001812725.1",1,"7000000677_____SRS049389_WUGC_scaffold_36286",1,3076,"c(35, 32)"
"I-C","GCF_001812885.1$merged_trunc_GCF_001812055.1$7000000564_____SRS016225_WUGC_scaffold_3181$RevComp$",2,"GCF_001812885.1$merged_trunc_GCF_001812055.1",1,"7000000564_____SRS016225_WUGC_scaffold_3181$RevComp$",1,30987,"c(31, 30)"
"I-F","GCF_001836505.1$merged_trunc_GCF_001836665.1$KT887558$RevComp$",2,"GCF_001836505.1$merged_trunc_GCF_001836665.1",1,"KT887558$RevComp$",1,25828,"c(15, 13)"
"I-F","GCF_900163645.1$EU399241$merged_1_1-38973_NC_010342_PHAGE_Halomo_1",4,"GCF_900163645.1",2,"EU399241$merged_1_1-38973_NC_010342_PHAGE_Halomo_1",1,30018,"c(98, 96, 95, 8)"
"II-C","GCF_000013685.1$3_3593599-3634551_NC_011004_PHAGE_Rhodob_RC1$merged_3_3593599-3636349_CP001096_PHAGE_Rhodov_RS1_NC_020866(20)",2,"GCF_000013685.1",1,"3_3593599-3634551_NC_011004_PHAGE_Rhodob_RC1$merged_3_3593599-3636349_CP001096_PHAGE_Rhodov_RS1_NC_020866(20)",1,15244,"c(43, 42)"
"I-F","GCF_000820025.1$JQ177063$merged_KY290953$merged_KY290954",4,"GCF_000820025.1",2,"JQ177063$merged_KY290953$merged_KY290954",1,30978,"c(43, 42, 37, 30)"
"I-E","GCF_900155435.1$KX620748$merged_KX620749$merged_KX620752",2,"GCF_900155435.1",1,"KX620748$merged_KX620749$merged_KX620752",1,4436,"c(35, 34)"
"I-B","GCF_001316435.1$4_1996812-2027305_CP001056.1_PHAGE_Clostr_phi3626$merged_4_1997122-2027616_FR745875_PHAGE_Clostr_phiC2(3)",2,"GCF_001316435.1",1,"4_1996812-2027305_CP001056.1_PHAGE_Clostr_phi3626$merged_4_1997122-2027616_FR745875_PHAGE_Clostr_phiC2(3)",1,22506,"c(31, 28)"
"I-E","GCF_001832725.1$1_1745850-1796776_CP000822.1_PHAGE_Salmon_SPN3UB_NC_019545(13)$merged_1_1745850-1802887_NC_009792_PHAGE_Gifsy_2",2,"GCF_001832725.1",1,"1_1745850-1796776_CP000822.1_PHAGE_Salmon_SPN3UB_NC_019545(13)$merged_1_1745850-1802887_NC_009792_PHAGE_Gifsy_2",1,1502,"c(27, 15)"
"II-A","GCF_000146405.1$1_447428-496482_NC_013798_PHAGE_Strept_P9$merged_1_447428-498063_FN597254.1_PHAGE_Strept_P9_NC_009819(17)",2,"GCF_000146405.1",2,"1_447428-496482_NC_013798_PHAGE_Strept_P9$merged_1_447428-498063_FN597254.1_PHAGE_Strept_P9_NC_009819(17)",1,40984,"c(24, 17)"
"I-E","GCF_002186515.1$MF415410$merged_MF415411$merged_MF415413$merged_MF476924",3,"GCF_002186515.1",3,"MF415410$merged_MF415411$merged_MF415413$merged_MF476924",2,49776,"c(21, 18, 17)"
"I-C","GCF_000165775.1$HE956704$merged_1_1-36521_HE956704.1_PHAGE_Lactob_phiAQ113_NC_019782(56)",2,"GCF_000165775.1",4,"HE956704$merged_1_1-36521_HE956704.1_PHAGE_Lactob_phiAQ113_NC_019782(56)",2,30728,"c(18, 14)"
"I-B","GCF_900168365.1$1_2310015-2330021_NC_010516_PHAGE_Clostr_phiCD38_2$merged_1_2310015-2328284_CP000939.1_PHAGE_Clostr_phiCD38_2(6)",2,"GCF_900168365.1",2,"1_2310015-2330021_NC_010516_PHAGE_Clostr_phiCD38_2$merged_1_2310015-2328284_CP000939.1_PHAGE_Clostr_phiCD38_2(6)",1,10269,"c(10, 7)"
"I-F","GCF_000481545.1$6_3384181-3445958_CP006853.1_PHAGE_Pseudo_PAJU2(43)$merged_2_3384181-3440506_NC_023019_PHAGE_Pseudo_PAJU2_NC_011373(43)",2,"GCF_000481545.1",4,"6_3384181-3445958_CP006853.1_PHAGE_Pseudo_PAJU2(43)$merged_2_3384181-3440506_NC_023019_PHAGE_Pseudo_PAJU2_NC_011373(43)",3,46158,"c(8, 6)"
